stage,start,finish,time,role,model,milestone,tool,device,effort
Frontend,17/07/2026 16:32,17/07/2026 16:44,0:12:00,AI,Sonnet 5,Ajustes visuales para alinearse con Comandante.,Claude Code,cli,high
Frontend,17/07/2026 16:46,17/07/2026 16:47,0:01:00,human,OCM,Validación y aprobación de PR.,Github,web,low
Frontend,17/07/2026 16:50,17/07/2026 16:58,0:08:00,human,OCM,Creación de prompt de solución de problema de autenticación.,Claude Code,cli,high
Frontend,17/07/2026 16:58,17/07/2026 17:06,0:08:00,AI,Sonnet 5,Solución a problema de autenticación.,Claude Code,cli,high
Frontend,17/07/2026 17:07,17/07/2026 17:07,0:00:30,human,OCM,Reporte de mensaje de error de DevTools.,Claude Code,cli,low
Frontend,17/07/2026 17:07,17/07/2026 17:10,0:03:00,AI,Sonnet 5,Solución a mensaje de error de DevTools.,Claude Code,cli,high
Frontend,17/07/2026 17:17,17/07/2026 17:21,0:04:00,human,OCM,Creación de prompt de creación de flujo CI/CD stagging y de copia detallada de UX/UI de Comandante (Ionic).,Claude Code,cli,medium
Frontend,17/07/2026 17:21,17/07/2026 17:52,0:31:00,AI,Sonnet 5,"Creación de flujo CI/CD stagging, aplicación detallada de estilos UX/UI de Comandante.",Claude Code,cli,high
Frontend,17/07/2026 17:52,17/07/2026 17:53,0:01:00,human,OCM,Validación y aprobación de PR.,Github,web,low
Frontend,17/07/2026 17:56,17/07/2026 17:58,0:02:00,human,OCM,Creación de prompt para generación de set de íconos PWA.,Claude Code,cli,low
Frontend,17/07/2026 17:58,17/07/2026 18:04,0:06:00,AI,Sonnet 5,Generación de set de íconos PWA.,Claude Code,cli,high
Frontend,17/07/2026 18:02,17/07/2026 18:03,0:01:00,human,OCM,Solicitud de alistamiento para continuar en Claude Code mobile.,Claude Code,cli,low
Frontend,17/07/2026 18:03,17/07/2026 18:04,0:01:00,AI,Sonnet 5,Alistamiento para continuar en Claude Code mobile.,Claude Code,cli,high
Backend,17/07/2026 20:06,17/07/2026 20:18,0:12:00,AI,Sonnet 5,Actualización de repo (pull) y ejecución de siguiente tarea: tablas DynamoDB y modelo de datos.,Claude Code,mobile,high
Cloud infraestructure,18/07/2026 11:14,18/07/2026 11:25,0:11:00,human,OCM,Creación de prompt para revisión de independencia del proceso de desarrollo de la plataforma.,Claude Code,mobile,high
Cloud infraestructure,18/07/2026 11:26,18/07/2026 11:28,0:02:00,AI,Fable 5,"Validación de repositorio para que se pueda avanzar desde CLI, Mobile, Web o Desktop.",Claude Code,mobile,high
Cloud infraestructure,18/07/2026 11:28,18/07/2026 11:36,0:08:00,human,OCM,Creación de prompt de solicitud de instrucciones para la creación de una nueva cuenta de servicio y para la aplicación de acciones de independización de infraestructura.,Claude Code,mobile,high
Cloud infraestructure,18/07/2026 11:36,18/07/2026 11:41,0:05:00,AI,Fable 5,Ajuste de workflows para independización de infraestructura y generación de instrucciones para GCP.,Claude Code,mobile,high
Cloud infraestructure,18/07/2026 11:41,18/07/2026 11:48,0:07:00,human,OCM,Seguimiento de instrucciones en GCP.,GCP,web,high
Backend,18/07/2026 12:50,18/07/2026 12:55,0:05:00,human,OCM,Prompt de inicio de tarea.,Claude Code,mobile,low
Backend,18/07/2026 12:56,18/07/2026 13:25,0:29:00,AI,Sonnet 5,Inicio de tarea de endpoint de usuario logueado.,Claude Code,mobile,high
Backend,18/07/2026 13:25,18/07/2026 13:31,0:06:00,human,OCM,Ajuste de permisos IAM en Firebase.,GCP,web,low
Backend,18/07/2026 13:31,18/07/2026 13:40,0:09:00,AI,Sonnet 5,Finalización de la tarea de endpoint de usuario logueado.,Claude Code,mobile,high
Backend,18/07/2026 13:44,18/07/2026 13:45,0:01:00,human,OCM,Validación y aprobación de PR.,Github,mobile,low
Backend,18/07/2026 19:55,18/07/2026 20:05,0:10:00,AI,Sonnet 5,Tarea de API de libros y RoleGuard.,Claude Code,mobile,high
Frontend,18/07/2026 20:23,18/07/2026 20:46,0:23:00,AI,Sonnet 5,UsuariosService y RoleGuard.,Claude Code,mobile,high
Frontend,18/07/2026 20:48,18/07/2026 21:08,0:20:00,AI,Sonnet 5,LibrosService y CatalogoPublicoComponent.,Claude Code,mobile,high
Frontend,18/07/2026 21:10,18/07/2026 21:40,0:30:00,AI,Sonnet 5,handlerCrear y catalogarLibro.,Claude Code,mobile,high
Frontend,18/07/2026 22:20,18/07/2026 22:50,0:30:00,AI,Sonnet 5,Ajuste de errores y creación de set de datos de prueba.,Claude Code,mobile,high
Backend,19/07/2026 10:20,19/07/2026 10:43,0:23:00,AI,Sonnet 5,CRUD /api/estantes,Claude Code,mobile,high
Backend,19/07/2026 10:46,19/07/2026 11:04,0:18:00,AI,Sonnet 5,POST /api/ventas,Claude Code,mobile,high
Backend,19/07/2026 11:09,19/07/2026 11:32,0:23:00,AI,Sonnet 5,CRUD /api/usuarios,Claude Code,mobile,high
Frontend,19/07/2026 13:07,19/07/2026 13:21,0:14:00,AI,Sonnet 5,Catalogación manual en el frontend (formulario POST /api/libros + GET /api/estantes),Claude Code,mobile,high
Frontend,19/07/2026 13:21,19/07/2026 13:25,0:04:00,human,OCM,Creación de prompt con error de flujo de autenticación.,Claude Code,mobile,high
Frontend,19/07/2026 13:25,19/07/2026 13:39,0:14:00,AI,Sonnet 5,Solución de error.,Claude Code,mobile,high
Frontend,19/07/2026 13:45,19/07/2026 13:49,0:04:00,human,OCM,Validación de solución a error y prompt de nuevo error.,Claude Code,mobile,high
Frontend,19/07/2026 13:49,19/07/2026 14:04,0:15:00,AI,Sonnet 5,Solución de error.,Claude Code,mobile,high
Frontend,19/07/2026 14:08,19/07/2026 14:11,0:03:00,human,OCM,Validación de solución a error.,Claude Code,mobile,high
Frontend,19/07/2026 14:11,19/07/2026 14:16,0:05:00,AI,Sonnet 5,Documentación y cierre de fix.,Claude Code,mobile,high
Backend,19/07/2026 22:06,19/07/2026 22:42,0:36:00,AI,Sonnet 5,CRUD /api/editoriales-descuentos,Claude Code,mobile,high
Backend,20/07/2026 12:07,20/07/2026 12:32,0:25:00,AI,Sonnet 5,PATCH /api/libros/:bookId/estante,Claude Code,mobile,high
Backend,20/07/2026 16:08,20/07/2026 16:32,0:24:00,AI,Sonnet 5,GET /api/ventas,Claude Code,mobile,high
Backend,20/07/2026 16:42,20/07/2026 17:04,0:22:00,AI,Fable 5,Solución a GSI vendidoEn-index,Claude Code,mobile,high
Frontend,20/07/2026 17:44,20/07/2026 18:02,0:18:00,AI,Sonnet 5,Creación de CambiarEstanteComponent,Claude Code,mobile,high
Frontend,20/07/2026 18:25,20/07/2026 18:34,0:09:00,AI,Sonnet 5,Sección /admin — placeholder de navegación + RoleGuard('administrador'),Claude Code,mobile,high
Frontend,20/07/2026 18:34,20/07/2026 18:36,0:02:00,human,OCM,Validación de /admin,Github,mobile,low
Frontend,21/07/2026 15:20,21/07/2026 15:30,0:10:00,AI,Sonnet 5,Escaneo de código de barras con cámara,Claude Code,cli,high
Frontend,21/07/2026 15:43,21/07/2026 15:58,0:15:00,AI,Sonnet 5,Solución de error de exceso de carga a Lambda.,Claude Code,cli,high
Frontend,21/07/2026 16:16,21/07/2026 16:23,0:07:00,AI,Sonnet 5,"CRUD de estantes en /admin/estantes, primera pantalla admin.",Claude Code,cli,high
Backend,21/07/2026 17:59,21/07/2026 18:17,0:18:00,AI,Sonnet 5,Autocompleta metadatos del libro por ISBN vía api.letiende.co.,Claude Code,cli,high
Backend,21/07/2026 18:30,21/07/2026 18:37,0:07:00,human,OCM,Creación de secret API_LETIENDE_BASE_URL y despliegue en staging.,Github,web,medium
Backend,21/07/2026 18:40,21/07/2026 18:50,0:10:00,AI,Sonnet 5,Solución de problema con API.,Claude Code,cli,high
Backend,21/07/2026 19:00,21/07/2026 19:46,0:46:00,human,OCM,Prompt de definición de flujo de carga de información y PVP desde la API y sitios web.,Claude Code,cli,high
Specs definition,21/07/2026 19:55,21/07/2026 20:25,0:30:00,AI,Opus 4.8,Plan de acción de flujo de carga de datos de libros.,Claude Code,cli,high
Backend,22/07/2026 10:13,22/07/2026 10:30,0:17:00,AI,Sonnet 5,"CRUD de sitios de scraping en /admin/sitios, lista info/pvp.",Claude Code,cli,high
Auth connection,22/07/2026 10:35,22/07/2026 10:43,0:08:00,human,OCM,Prompt de error de selección de cuentas de Google desde Chrome macOS.,Claude Code,cli,medium
Auth connection,22/07/2026 10:43,22/07/2026 10:46,0:03:00,AI,Sonnet 5,Fuerza el selector de cuentas de Google en el login.,Claude Code,cli,high
Cloud infraestructure,22/07/2026 10:48,22/07/2026 11:09,0:21:00,AI,Sonnet 5,"Diagnostica solapamiento de deploys, restaura infra, siembra sitios.",Claude Code,cli,high
Cloud infraestructure,22/07/2026 11:12,22/07/2026 11:28,0:16:00,AI,Sonnet 5,"Re-deploy en staging, siembra de datos de sitios web, documentación.",Claude Code,cli,high
Backend,22/07/2026 11:50,22/07/2026 12:12,0:22:00,AI,Sonnet 5,"Motor de scraping por ISBN + guardia SSRF fija (server/api/services/scraping.ts), 4 adaptadores reales (Lerner, Nacional, Tornamesa, Busca Libre).",Claude Code,cli,high
Specs definition,22/07/2026 12:17,22/07/2026 12:19,0:02:00,AI,Sonnet 5,Responde preguntas sobre el orden de fallbacks y la obligatoriedad del scraping para el PVP (sin cambios de código).,Claude Code,cli,high
Specs definition,22/07/2026 12:23,22/07/2026 12:27,0:04:00,AI,Sonnet 5,"Compara velocidad, calidad y seguridad de los 4 adaptadores de scraping (Lerner, Nacional, Tornamesa, Busca Libre), excluyendo PVP.",Claude Code,cli,high
Specs definition,22/07/2026 12:38,22/07/2026 12:52,0:14:00,AI,Sonnet 5,"Documenta la siguiente tarea (reordenamiento arrastrable en /admin/sitios) en TODO.md/MEMORY.md, sin iniciar la implementación.",Claude Code,cli,high
Frontend,22/07/2026 15:54,22/07/2026 16:08,0:14:00,AI,Sonnet 5,"Reordenamiento arrastrable de sitios de scraping en /admin/sitios (@angular/cdk), prioridad manual eliminada.",Claude Code,cli,high
Frontend,22/07/2026 16:33,22/07/2026 16:39,0:06:00,AI,Sonnet 5,"Ajustes de UX en /admin/sitios: botón Agregar flotante y deshabilitado en uso, Editar/Eliminar apilados.",Claude Code,cli,high
Backend,22/07/2026 16:49,22/07/2026 17:07,0:18:00,AI,Sonnet 5,"Integra scraping en paralelo + PVP en /api/metadatos/:isbn (Task C), cierra la iniciativa de obtención de info de libros.",Claude Code,cli,high
Frontend,22/07/2026 17:19,22/07/2026 17:31,0:12:00,AI,Sonnet 5,"GestionUsuariosComponent en /admin/usuarios, con salvaguarda visual de ADR-009 (no auto-eliminación/degradación).",Claude Code,cli,high
Frontend,22/07/2026 17:43,22/07/2026 17:56,0:13:00,AI,Sonnet 5,"DescuentosEditorialesComponent en /admin/editoriales, completa los 4 CRUD de administración pendientes.",Claude Code,cli,high
Cloud infraestructure,22/07/2026 18:46,22/07/2026 18:47,0:01:00,AI,Sonnet 5,Limpieza de repo local tras fusionar PR #44; TODO.md queda listo para la siguiente tarea sin iniciarla.,Claude Code,cli,high
Backend,23/07/2026 08:32,23/07/2026 09:31,0:59:00,AI,Sonnet 5,"GET /api/ventas/exportar (XLSX) + ReportesVentasComponent, cubre todos los ítems Media del roadmap con backend listo.",Claude Code,cli,high
Cloud infraestructure,23/07/2026 09:34,23/07/2026 09:35,0:01:00,AI,Sonnet 5,Limpieza de repo local tras fusionar PR #45.,Claude Code,cli,high
Cloud infraestructure,24/07/2026 12:02,24/07/2026 12:03,0:01:00,AI,Sonnet 5,"Limpieza de repo local tras fusionar PR #55 (main actualizado, rama docs borrada).",Claude Code,cli,high
Backend,24/07/2026 12:03,24/07/2026 12:20,0:17:00,AI,Sonnet 5,Migra Libro.estanteId a ubicacionId (Tarea 1 del motor JIT): backend/frontend/infra + PR #56.,Claude Code,cli,high
Backend,24/07/2026 14:31,24/07/2026 14:34,0:03:00,AI,Sonnet 5,"Corrige 500 en ficha de libros pre-migracion (ubicacionId undefined), commit adicional en PR #56.",Claude Code,cli,high
Workspace settting,24/07/2026 14:34,24/07/2026 14:37,0:03:00,AI,Sonnet 5,Agrega CLAUDE.md paragrafo 8 y trackea Hitos desarrollo - detail.csv en el repo.,Claude Code,cli,high
Backend,24/07/2026 14:56,24/07/2026 15:08,0:12:00,AI,Sonnet 5,Vende desde la ficha del libro (cantidad/descuento/forma de pago): backend/frontend + PR #57.,Claude Code,cli,high
Workspace settting,24/07/2026 15:08,24/07/2026 15:08,0:00:30,AI,Sonnet 5,Crea la PR #58 (registro de tiempos) tras superarse el error transitorio de GitHub.,Claude Code,cli,medium
Cloud infraestructure,24/07/2026 15:09,24/07/2026 17:18,2:09:00,AI,Sonnet 5,"Diagnostica condicion de carrera en staging (PR de docs piso el deploy correcto), redespliega PR #57.",Claude Code,cli,high
Backend,24/07/2026 17:20,24/07/2026 17:40,0:20:00,AI,Sonnet 5,"Limpieza tras PR #57 y verificacion en DynamoDB: root cause era falta de datos de Ubicacion en staging, no un bug.",Claude Code,cli,high
Workspace settting,24/07/2026 17:41,24/07/2026 17:50,0:09:00,AI,Sonnet 5,Retira la nota de falta de datos de Ubicacion en TODO/MEMORY/ajustes-finales (usuario ya sembro datos).,Claude Code,cli,medium
Frontend,24/07/2026 17:50,24/07/2026 18:37,0:47:00,AI,Sonnet 5,"Area Gestionar (Catalogar+Editar/Eliminar libro) implementada y revisada, PR #60 abierto.",Claude Code,cli,high
Specs definition,24/07/2026 22:35,24/07/2026 22:43,0:08:00,AI,Sonnet 5,"Detecta el PR #60 (area Gestionar) ya fusionado por otra sesion, descarta trabajo duplicado sin commitear, resincroniza main, limpia 10 ramas locales obsoletas y revalida TODO.md/MEMORY.md/ajustes-finales.md.",Claude Code,mobile,high
Frontend,24/07/2026 22:44,24/07/2026 22:51,0:07:00,AI,Sonnet 5,"Filtrado publico por Espacio/Mueble en CatalogoPublicoComponent + query params ?espacio=&mueble=; corrige bug de [value] en <select> nativo sin Reactive Forms.",Claude Code,mobile,high
Workspace settting,24/07/2026 23:00,24/07/2026 23:17,0:17:00,AI,Sonnet 5,"Cierra la tarea de filtrado por ubicacion (verificado por el usuario): TODO.md/MEMORY.md/ajustes-finales.md actualizados, queda 1 sola tarea activa (Reporte de Inventario) por falta de item independiente.",Claude Code,mobile,medium
Workspace settting,25/07/2026 07:30,25/07/2026 07:32,0:02:00,AI,Sonnet 5,"Cierra la tarea de Reporte de Inventario (verificado por el usuario, cierra ajustes-finales.md por completo): limpia local, revalida TODO.md/MEMORY.md, pausa deliberada del motor JIT a pedido del usuario.",Claude Code,mobile,medium
Frontend,25/07/2026 11:11,25/07/2026 11:14,0:03:00,AI,Sonnet 5,"Ajusta tests tras mover el vinculo al catalogo al header: elimina prueba obsoleta en gestionar.component.spec, quita RouterLink sin uso, agrega pruebas del enlace Catalogo en app.spec; 303 tests y build OK.",Claude Code,desktop,low
Specs definition,27/07/2026 12:50,27/07/2026 13:10,0:20:00,AI,Sonnet 5,"Revisa ajustes-2026-07-27.md, explora catalogo-publico/gestionar/reportes-ventas/ubicacion-fisica para entender el codigo, pregunta 4 decisiones al usuario (orden, ubicacion/credenciales/agrupacion de la herramienta QR) y redacta la actualizacion de TODO.md y memoria.",Claude Code,mobile,medium
Workspace settting,27/07/2026 13:10,27/07/2026 13:15,0:05:00,AI,Sonnet 5,"Corrige edicion directa en main: crea rama docs/ajustes-2026-07-27, commitea TODO.md/ajustes-2026-07-27.md y abre PR #66.",Claude Code,mobile,low
Frontend,27/07/2026 13:16,27/07/2026 13:22,0:06:00,AI,Sonnet 5,"Tarea 1: toggle Tarjetas/Lista y orden (Titulo/Autor/Precio + boton de direccion) en CatalogoPublicoComponent; 5 pruebas nuevas, build y 308 tests OK.",Claude Code,mobile,medium
Workspace settting,27/07/2026 13:33,27/07/2026 13:34,0:01:00,AI,Sonnet 5,"Limpia ramas locales/remotas fusionadas (PR #66/#67) y actualiza TODO.md: cierra Tarea 1 (catalogo), promueve Reporte de ventas a Tarea 2.",Claude Code,mobile,low
Backend,27/07/2026 13:34,27/07/2026 13:44,0:10:00,AI,Sonnet 5,"Tarea Gestionar>Editar: PUT /api/libros/:bookId ahora acepta todos los campos (titulo/autor/isbn/editorial/portadaUrl); EditarLibroComponent reorganizado en 2 paneles como Catalogar, con su propio lector EAN-13 para ISBN. Build, 311 tests frontend y 268 backend OK.",Claude Code,mobile,high
Workspace settting,27/07/2026 14:32,27/07/2026 14:36,0:04:00,AI,Sonnet 5,"Fusiona main (PR #68) en la rama de PR #69, resuelve conflicto en el CSV, y actualiza TODO.md: cierra Gestionar>Editar, deja Reporte de ventas como unica tarea activa y promueve Modo offline al segundo slot (sin iniciarlo).",Claude Code,mobile,low
Backend,27/07/2026 14:50,27/07/2026 14:52,0:02:00,AI,Sonnet 5,"Ultima tarea de ajustes-2026-07-27.md: agrega columna Descuento de venta (porcentajeDescuentoVenta) al reporte de ventas .xlsx (handlerExportar); 1 prueba nueva, 269 tests backend y build OK.",Claude Code,mobile,low
Workspace settting,27/07/2026 15:05,27/07/2026 15:10,0:05:00,AI,Sonnet 5,"Reporte de ventas probado por el usuario (PR #70 aun sin fusionar). Pregunta y confirma con el usuario el orden Modo offline -> Produccion, y actualiza TODO.md: cierra el backlog de ajustes-2026-07-27.md, deja Modo offline (Tarea 1) y Produccion (Tarea 2, sin iniciar) como los 2 slots activos del roadmap principal.",Claude Code,mobile,low
Specs definition,27/07/2026 15:19,27/07/2026 17:21,2:02:00,AI,Sonnet 5,"Planea el modo offline (2 agentes Explore + 1 Plan + lectura directa de codigo); el usuario lo cancela por completo al revisar el plan (cortes de wifi <1/mes, se resuelven con datos moviles). Trae 2 ajustes nuevos a los reportes (ventas/inventario), los valida contra el codigo y pregunta 2 decisiones (descuento editorial historico vs actual, columna Costo). Actualiza PRD.md/TODO.md/memoria: cancela offline, registra las 2 tareas nuevas.",Claude Code,mobile,high
Backend,27/07/2026 17:21,27/07/2026 17:24,0:03:00,AI,Sonnet 5,"Reporte de ventas: agrega columnas ISBN/Descuento editorial/PVP unitario/Ejemplares vendidos/Venta total/Vendedor, cambia Costo a total (costoLibro*cantidad), reordena las 13 columnas segun lo pedido. 269 tests backend OK.",Claude Code,mobile,medium
Backend,27/07/2026 17:25,27/07/2026 17:26,0:01:00,AI,Sonnet 5,"Reporte de inventario: agrega Fecha de catalogacion (inicio) y Catalogado por (final); confirma que Cantidad ya reflejaba cantidadDisponible via escanearTodo completo (incluye agotados en 0), sin cambios de logica ahi. 269 tests backend OK.",Claude Code,mobile,low
Workspace settting,27/07/2026 17:56,27/07/2026 18:12,0:16:00,AI,Sonnet 5,"Guarda como regla dura en memoria (feedback del usuario): nunca abrir/pushear un 2o PR sin que el anterior termine todo su despliegue. Resuelve el conflicto del CSV en PR #73 dos veces (primero contra main tras #71, luego de nuevo tras fusionar #72) hasta dejarlo mergeable.",Claude Code,mobile,low
Workspace settting,27/07/2026 18:15,27/07/2026 18:24,0:09:00,AI,Sonnet 5,"Confirma fusion de PR #71/#72/#73, limpia ramas locales/remotas y actualiza TODO.md: cierra Reporte de ventas e inventario, deja Produccion como unica tarea activa (sin segundo item para el slot, mismo caso ya visto el 2026-07-25).",Claude Code,mobile,low
Specs definition,27/07/2026 18:24,27/07/2026 20:19,1:55:00,AI,Sonnet 5,"Plan de la herramienta de QR (tools/qr-muebles): 1 agente Explore + 1 agente Plan + investigacion propia de librerias (qrcode/resvg-js/pdf-lib), plan tecnico completo escrito. Usuario pide pausar antes de aprobar.",Claude Code,mobile,high
Workspace settting,27/07/2026 20:20,27/07/2026 20:24,0:04:00,AI,Sonnet 5,"Limpia local tras fusionar PR #74. Reorganiza documentacion: crea docs/, mueve ajustes-2026-07-27.md/ajustes-finales.md/DESIGN.md/MEMORY.md/plan-obtencion-info-libros.md/PRD.md/tech-specs.md/TODO.md ahi (README.md y CLAUDE.md quedan en raiz), guarda el plan de la herramienta QR como docs/plan-herramienta-qr-muebles.md, actualiza enlaces en README.md y menciones de ruta en CLAUDE.md/TODO.md.",Claude Code,mobile,medium
Backend,28/07/2026 17:44,28/07/2026 18:16,0:32:00,AI,Sonnet 5,"Implementación de la herramienta standalone tools/qr-muebles (generador de PDF con estampillas QR para muebles) según plan-herramienta-qr-muebles.md; PR #76.",Claude Code,cli,high
Backend,29/07/2026 11:31,29/07/2026 12:35,1:04:00,AI,Sonnet 5,"Plantilla SVG editable (id=campo:*), logo Le Tiende embebido en el QR, tipografia Poppins real, elimina marcas decorativas (causaban fallos de escaneo confirmados), sube DPI/margin del QR, verificacion automatica de escaneo con jsqr; PR #76.",Claude Code,cli,high
Specs definition,29/07/2026 20:20,29/07/2026 20:35,0:15:00,AI,Sonnet 5,"Investigacion + planeacion de 4 ajustes a Babel (orden alfabetico de desplegables, camara horizontal, thumbnail de portada, deteccion de duplicados por ISBN en Catalogar); 2 preguntas de producto resueltas; TODO.md/PRD.md/MEMORY.md actualizados, PR #77 solo-docs, sin implementar codigo.",Claude Code,cli,medium
Frontend,29/07/2026 21:25,29/07/2026 21:30,0:05:00,AI,Sonnet 5,"Tarea 1: orden alfabetico de Espacio/Mueble/Ubicacion en UbicacionFisicaService (fix centralizado, 4 pantallas), con tests; PR #78.",Claude Code,cli,low
Frontend,30/07/2026 13:53,30/07/2026 13:56,0:03:00,AI,Sonnet 5,"Hotfix en la misma rama del PR #78: sin Espacio elegido en el catalogo publico el select de Mueble ya no muestra todos los muebles ambiguos (nombres repetidos entre espacios) - devuelve vacio y el select se deshabilita; tests ajustados/agregados.",Claude Code,cli,low
Frontend,30/07/2026 14:08,30/07/2026 16:09,2:01:00,AI,Sonnet 5,"Tarea 2: camara horizontal 3:1, thumbnail de portada, deteccion de duplicados por ISBN en Catalogar (GET /api/libros/por-isbn/:isbn + fusion atomica POST /api/libros/:bookId/fusionar-duplicado con UpdateItem SET+ADD, corrige condicion de carrera de inventario encontrada por architect); PR #79.",Claude Code,cli,high
